run_id,evidence_id,product_id,product_name,vintage_label,source_domain,ocr_status,processor,image_sha256,line_count,ingredient_signal_found,ingredient_signal_line_count,average_confidence,private_image_present,candidate_only,manual_verified
pilot-photo-capture-dry-run,cheerios_original_evidence_6,cheerios_original,Cheerios Original,1990s,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,coca_cola_classic_evidence_0,coca_cola_classic,Coca-Cola Classic,earliest_verified_label;1980s_or_earlier,commons.wikimedia.org,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,coca_cola_classic_evidence_2,coca_cola_classic,Coca-Cola Classic,earliest_verified_label;2000s,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,coca_cola_classic_evidence_3,coca_cola_classic,Coca-Cola Classic,earliest_verified_label;2000s,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,coca_cola_classic_evidence_4,coca_cola_classic,Coca-Cola Classic,1990s,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,doritos_nacho_cheese_evidence_0,doritos_nacho_cheese,Doritos Nacho Cheese,earliest_verified_label;1980s_or_earlier,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,doritos_nacho_cheese_evidence_1,doritos_nacho_cheese,Doritos Nacho Cheese,earliest_verified_label;1990s,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,doritos_nacho_cheese_evidence_2,doritos_nacho_cheese,Doritos Nacho Cheese,earliest_verified_label;1980s_or_earlier,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,doritos_nacho_cheese_evidence_3,doritos_nacho_cheese,Doritos Nacho Cheese,earliest_verified_label;1990s,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,doritos_nacho_cheese_evidence_4,doritos_nacho_cheese,Doritos Nacho Cheese,1980s_or_earlier,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
